Row	Tree	Block	nursery_id	PLANTID	apple_id	rGrid	cGrid	pGrid
1	1	North	5160	"Court Pendu"	440	1	1	1
1	2	North	6035	Boutteville	506	1	1	2
1	3	North	1046	Topaz	16	1	1	3
1	4	North	2251	"KAZ 93-12-02"	151	1	1	4
1	5	North	10307	Orleans	1015	1	1	5
1	6	North	4259	"KAS 7"	360	1	1	6
1	7	North	6064	Collet	516	1	1	7
1	8	North	9171	Jewel	864	1	1	8
1	9	North	10313	"Maiden Blush"	1017	1	1	9
1	10	North	9198	"King of the Pippins"	873	1	1	10
1	11	North	10065	"Red Baron"	935	1	1	11
1	12	North	7011	S23-06-133	600	1	1	12
1	13	North	5145	Bean	435	1	1	13
1	14	North	12097	Wealthy	1171	1	1	14
1	15	North	3046	"Pink Pearl"	189	1	1	15
1	16	North	12094	Trebu	1170	1	1	16
1	17	North	12010	"Teint Fraise"	1143	1	1	17
1	18	North	5171	Benoni	444	1	1	18
1	19	North	12113	Suvorovets	1176	1	1	19
1	20	North	2059	"Kaz 95 07-05"	114	1	1	20
1	21	North	10166	"Pfirsichroter Sommerapfel"	969	1	1	21
1	22	North	1148	8S-29-18	50	2	1	1
1	23	North	10292	Metais	1010	2	1	2
1	24	North	11317	"Trembletts Bitter"	1133	2	1	3
1	25	North	3317	"KAR 93"	269	2	1	4
1	26	North	12103	Sharopa	1173	2	1	5
1	27	North	11074	Major	1053	2	1	6
1	28	North	1146	"SPA 283"	49	2	1	7
1	29	North	10074	"Red Paducah"	938	2	1	8
1	30	North	4206	"KAR 33"	345	2	1	9
1	31	North	8058	"Ellison's Orange"	715	2	1	10
1	32	North	8297	Fireside	795	2	1	11
1	33	North	4031	"KAS 66"	293	2	1	12
1	34	North	6202	Champlain	560	2	1	13
1	35	North	9286	"Geeveston Fanny"	901	2	1	14
1	36	North	6061	Duchess	515	2	1	15
1	37	North	2146	"KAZ 96 03-15"	127	2	1	16
1	38	North	5288	"Baumann's Reinette"	483	2	1	17
1	39	North	3265	Pionier	252	2	1	18
1	40	North	13059	"Sweet Caroline"	1207	2	1	19
1	41	North	8195	"Gros Frequin"	761	2	1	20
1	42	North	5214	"Antonovka Ottawa"	458	3	1	1
1	43	North	2170	"Kaz 95 18-02P-33"	1263	3	1	2
1	44	North	2086	"KAZ 96 03-01P-7"	119	3	1	3
1	45	North	8148	"Gruzhovka of Moscow"	745	3	1	4
1	46	North	6199	"Adersleber Kalvill"	559	3	1	5
1	47	North	4088	"KAS 54"	309	3	1	6
1	48	North	6184	Auralia	554	3	1	7
1	49	North	1235	NY74828	77	3	1	8
1	50	North	6131	"Drap d'Or Guemene"	536	3	1	9
1	51	North	3152	"KAZ 96 08-16"	217	3	1	10
1	52	North	1071	Britegold	24	3	1	11
1	53	North	5312	Carlton	491	3	1	12
1	54	North	4223	"KAR 15"	349	3	1	13
1	55	North	1199	Otava	66	3	1	14
1	56	North	6172	"Binet Blanc"	550	3	1	15
1	57	North	2122	"Kaz 95 18-02P-31"	1261	3	1	16
1	58	North	10205	"Prairie Spy"	981	3	1	17
1	59	North	2272	"Crimson Beauty"	158	3	1	18
